restaurant_name,restaurant_type,rating,num_of_ratings,avg_cost_for_two,online_order,table_booking,cuisines,area,local_address,rating_category
2Nd Home Restaurant,Quick Bites,3.7,21,500,Yes,No,"South Indian, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
3 Leafs,Casual Dining,3.7,128,600,Yes,No,"North Indian, South Indian, Chinese",Marathahalli,Kaggadasapura,Average Rated
3 Spice,Casual Dining,3.9,156,450,Yes,No,"North Indian, Chinese",Koramangala 7Th Block,Wilson Garden,Average Rated
30 Square,Quick Bites,4.2,556,400,Yes,No,"Tibetan, Nepalese, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,High Rated
360 Atoms Restaurant And Cafe,Cafe,3.1,13,400,Yes,No,"Cafe, Chinese, Continental, Italian",Banashankari,Banashankari,Average Rated
36Th Cross Coffee Mane,Casual Dining,3.7,29,500,No,No,"North Indian, Chinese",Jp Nagar,Btm,Average Rated
37 China Town,Casual Dining,3.5,58,900,No,No,"Chinese, Thai, North Indian, South Indian, Continental",Lavelle Road,Race Course Road,Average Rated
"3B'S - Buddies, Bar & Barbecues","Casual Dining, Bar",4.4,1149,1100,No,Yes,"North Indian, Mediterranean, European, Bbq","Byresandra,Tavarekere,Madiwala",Btm,High Rated
3G'S - Gulp & Groove,"Bar, Casual Dining",4.1,662,1100,Yes,Yes,"Finger Food, Continental, Chinese",Malleshwaram,Malleshwaram,High Rated
3Rd Innings,"Casual Dining, Bar",3.0,17,1000,No,No,"Burger, Italian, North Indian, Chinese",Electronic City,Electronic City,Average Rated
4 Mangoes,Kiosk,3.7,14,200,No,No,Ice Cream,Indiranagar,Old Airport Road,Average Rated
4 Seasons Restaurant,Casual Dining,3.7,399,1000,Yes,Yes,"North Indian, Seafood, Middle Eastern, Chinese",Kalyan Nagar,Kalyan Nagar,Average Rated
4 States,Food Court,3.2,4,400,No,No,South Indian,Sarjapur Road,Bellandur,Average Rated
46 Ounces Brewgarden,Microbrewery,2.8,40,1600,No,Yes,"Bar Food, Finger Food, Pizza",Electronic City,Electronic City,Low Rated
4700Bc Popcorn,"Takeaway, Delivery",4.1,55,500,No,No,Fast Food,Whitefield,Whitefield,High Rated
4Foodiez,Quick Bites,3.6,82,300,Yes,No,"South Indian, North Indian, Chinese",Electronic City,Electronic City,Average Rated
4Foodiez - The Restaurant,Quick Bites,3.0,23,400,No,No,"Street Food, Chinese, North Indian, South Indian",Electronic City,Electronic City,Average Rated
4K Biryani,Delivery,3.3,4,700,Yes,No,"North Indian, Chinese",Hsr,Hsr,Average Rated
4Th Tea Block,Cafe,4.0,62,150,No,No,Cafe,Basavanagudi,Jayanagar,High Rated
5 Star Food,Quick Bites,2.8,40,300,Yes,No,"South Indian, Fast Food",Frazer Town,Kammanahalli,Low Rated
50-50 Eating House,Quick Bites,3.2,4,100,No,No,"South Indian, Biryani",Banashankari,Basavanagudi,Average Rated
52 Wall Street,"Bar, Casual Dining",3.9,737,1400,No,No,"American, Continental, Finger Food","Byresandra,Tavarekere,Madiwala",Koramangala 6Th Block,Average Rated
55 Wall Street,Bar,3.9,1763,1300,No,Yes,"Finger Food, North Indian, Chinese",Bannerghatta Road,Jp Nagar,Average Rated
56 Bhoga Sweets,"Takeaway, Delivery",3.6,51,150,No,No,"Mithai, Street Food",Hsr,Hsr,Average Rated
5Th Main Cafe,Cafe,3.5,15,250,No,No,"Cafe, Fast Food","Byresandra,Tavarekere,Madiwala",Hsr,Average Rated
7 Days Restaurant,Quick Bites,3.8,478,400,Yes,No,"North Indian, Chinese, Arabian",Electronic City,Electronic City,Average Rated
7 Degrees North,Casual Dining,3.5,11,500,No,No,North Indian,Hsr,Hsr,Average Rated
7 Hills Andhra Mess,Mess,3.4,8,300,No,No,Andhra,Indiranagar,Cv Raman Nagar,Average Rated
7 Plates,Casual Dining,3.5,531,600,Yes,No,"North Indian, Mughlai, Rolls, Fast Food",Kammanahalli,Kalyan Nagar,Average Rated
7 Shanghai,Quick Bites,3.5,18,250,Yes,No,Chinese,Electronic City,Electronic City,Average Rated
7 Spice,Quick Bites,3.4,5,250,No,No,"Biryani, Chinese",Kalyan Nagar,Banaswadi,Average Rated
7 To 11 Food Court,Quick Bites,3.7,16,200,Yes,No,"Fast Food, Burger, North Indian, South Indian",Frazer Town,Banaswadi,Average Rated
70 Brigade - Iris Hotel,Casual Dining,3.9,105,1000,No,Yes,"Chinese, North Indian, Pizza",Brigade Road,Brigade Road,Average Rated
7Biryanis,Casual Dining,3.2,4,600,Yes,No,"Andhra, Biryani",Kalyan Nagar,Nagawara,Average Rated
7Th Heaven,Bakery,3.6,17,300,No,No,"Bakery, Desserts",New Bel Road,New Bel Road,Average Rated
8 Slice,Delivery,3.7,74,600,Yes,No,Pizza,Brigade Road,Koramangala 6Th Block,Average Rated
9 Bowls,Quick Bites,2.8,40,500,Yes,No,"Healthy Food, Continental, North Indian, Chinese",Hsr,Koramangala 1St Block,Low Rated
90'S,Quick Bites,2.8,40,200,No,No,North Indian,Hsr,Hsr,Low Rated
90'S Beer Cafe - Hotel Millennium Plaza,Bar,3.0,7,1000,No,No,Finger Food,Electronic City,Electronic City,Average Rated
90'S Cafe,Quick Bites,2.8,40,500,No,No,"Fast Food, Burger",Jayanagar,Jp Nagar,Low Rated
99 Caffe,Quick Bites,3.6,106,250,Yes,No,"South Indian, North Indian, Chinese",Brookefield,Brookefield,Average Rated
99 Pancakes,Dessert Parlor,4.1,41,150,Yes,No,"Desserts, Ice Cream",Brigade Road,Church Street,High Rated
99 Variety Dosa & Pav Bhaji,Quick Bites,3.8,16,250,Yes,No,"South Indian, North Indian, Street Food",Koramangala 5Th Block,Koramangala 6Th Block,Average Rated
99 Variety Dosa And Pav Bhaji,Quick Bites,4.0,101,250,Yes,No,"South Indian, North Indian, Street Food","Byresandra,Tavarekere,Madiwala",Hsr,High Rated
99 Variety Dose-Biryanis-Starters,"Takeaway, Delivery",2.8,40,300,Yes,No,"South Indian, North Indian, Fast Food, Chinese",Hsr,Hsr,Low Rated
99Foods,Quick Bites,3.4,32,400,No,No,"Biryani, North Indian, Chinese, Kebab",Marathahalli,Marathahalli,Average Rated
9D Foods,Quick Bites,4.0,458,400,Yes,No,"North Indian, Street Food",Brookefield,Marathahalli,High Rated
9Th Cross Cafe,Cafe,3.6,12,550,No,No,"Cafe, Italian, French",Indiranagar,Jeevan Bhima Nagar,Average Rated
