restaurant_name,restaurant_type,rating,num_of_ratings,avg_cost_for_two,online_order,table_booking,cuisines,area,local_address,rating_category
A 1 Pizza And Food,Delivery,2.8,211,300,Yes,No,"Pizza, Chinese, North Indian",Indiranagar,Old Airport Road,Low Rated
A Bar,Bar,3.3,19,600,No,No,"North Indian, Continental","Byresandra,Tavarekere,Madiwala",Hsr,Average Rated
A Hole Lotta Love Cafe,Cafe,4.3,2871,600,Yes,No,"Cafe, American, Burger, Sandwich, Beverages",Koramangala 4Th Block,Koramangala 5Th Block,High Rated
A Little For Love,Bakery,3.4,12,350,No,No,Bakery,Kalyan Nagar,Hennur,Average Rated
A M Biryani Hotel,Quick Bites,3.3,6,300,Yes,No,"North Indian, Chinese, Biryani, Fast Food",Bannerghatta Road,Bannerghatta Road,Average Rated
A Southern Fair,Casual Dining,3.0,19,750,Yes,No,"Biryani, Seafood, South Indian",Whitefield,Whitefield,Average Rated
A Today Thick Shakes,Beverage Shop,3.2,9,200,No,No,Beverages,Jayanagar,Koramangala 5Th Block,Average Rated
A.M New Punjab Food Corner,Quick Bites,3.5,21,350,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 1St Block,Average Rated
A1 Ambur Dum Biryani And Parota Centre,Quick Bites,3.2,4,300,No,No,Biryani,Rajajinagar,Basaveshwara Nagar,Average Rated
A1 Biriyani Point,Quick Bites,3.0,10,200,No,No,Biryani,Malleshwaram,Seshadripuram,Average Rated
A1 Garam Masala,Casual Dining,3.6,25,500,Yes,No,"North Indian, Andhra, Chinese",Jp Nagar,Kanakapura Road,Average Rated
A1 Hot Dum Biryani,Quick Bites,3.2,4,150,No,No,Biryani,Whitefield,Whitefield,Average Rated
A1 Spice Inn,Casual Dining,3.5,46,500,No,No,"Biryani, Chinese, Hyderabadi, North Indian, South Indian",Malleshwaram,Yeshwantpur,Average Rated
A2B - Adyar Ananda Bhavan,Casual Dining,2.5,544,400,Yes,No,"South Indian, North Indian, Chinese, Street Food, Fast Food",Whitefield,Whitefield,Low Rated
A2B Veg - Adyar Ananda Bhavan,Casual Dining,2.7,97,400,Yes,No,"South Indian, Fast Food, Street Food",Basavanagudi,Basavanagudi,Low Rated
A3 Nuwang Kitchen,Quick Bites,3.7,42,300,Yes,No,"Chinese, North Indian",Indiranagar,Ejipura,Average Rated
Aaccord Restaurant,Casual Dining,2.8,40,600,No,No,"Continental, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Btm,Low Rated
Aadhya Hotel,"Casual Dining, Bar",3.3,5,800,Yes,No,"South Indian, North Indian, Chinese, Biryani",Banashankari,Basavanagudi,Average Rated
Aadvik Nightfood,Delivery,3.6,22,350,Yes,No,Fast Food,Frazer Town,Frazer Town,Average Rated
Aagaman Veg,Casual Dining,2.8,40,900,Yes,No,"North Indian, Chinese, South Indian",Electronic City,Electronic City,Low Rated
Aaha,Quick Bites,3.6,93,300,Yes,No,"North Indian, Chinese",Marathahalli,Brookefield,Average Rated
Aaha Andhra,Casual Dining,3.4,58,900,No,No,"Andhra, Biryani, North Indian",Marathahalli,Marathahalli,Average Rated
Aahar Cafe,Quick Bites,3.5,40,100,No,No,South Indian,Basavanagudi,Basavanagudi,Average Rated
Aahar Vihar,Quick Bites,4.0,68,250,Yes,No,North Indian,Brookefield,Marathahalli,High Rated
Aahara Vihar,Quick Bites,3.5,13,300,No,No,"South Indian, North Indian, Chinese",Malleshwaram,Malleshwaram,Average Rated
Aaharam,Quick Bites,4.0,65,350,No,No,"Chinese, North Indian",Hsr,Koramangala 1St Block,High Rated
Aalishan Restaurant & Caterer,Casual Dining,3.5,888,650,Yes,No,"North Indian, Mughlai","Byresandra,Tavarekere,Madiwala",Koramangala 7Th Block,Average Rated
Aami Bangali,Casual Dining,3.0,66,700,Yes,No,Bengali,"Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Average Rated
Aami Kolkata,Delivery,3.3,5,600,No,No,Bengali,Bannerghatta Road,Bannerghatta Road,Average Rated
Aao G Khao G,Quick Bites,3.5,11,200,Yes,No,"North Indian, Chinese",Hsr,Hsr,Average Rated
Aapni Rasoi,Quick Bites,3.2,127,400,Yes,No,North Indian,Bellandur,Bellandur,Average Rated
Aaranya Restaurant,Casual Dining,3.4,212,800,Yes,No,"North Indian, Chinese, Mughlai","Byresandra,Tavarekere,Madiwala",Hsr,Average Rated
Aarti Paratha & Rolls Corner,Quick Bites,3.6,15,200,Yes,No,"North Indian, Fast Food",New Bel Road,New Bel Road,Average Rated
Aarya Pork Hotel,Quick Bites,3.3,11,300,No,No,"South Indian, Biryani, Chinese","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Aashirvaad Restaurant,Quick Bites,3.1,249,300,Yes,No,"North Indian, Oriya, Chinese",Brookefield,Marathahalli,Average Rated
Aashish Foods,Quick Bites,2.7,35,150,Yes,No,North Indian,Brookefield,Brookefield,Low Rated
Aasife & Brothers Biriyani Centre,Casual Dining,3.8,120,600,Yes,No,"Biryani, North Indian, South Indian, Chinese","Byresandra,Tavarekere,Madiwala",Hsr,Average Rated
Aastha Bengali Mess,Quick Bites,3.9,131,250,Yes,No,"Chinese, Bengali",Malleshwaram,Yeshwantpur,Average Rated
Aata'S Kitchen,Quick Bites,2.8,40,250,Yes,No,"South Indian, North Indian","Byresandra,Tavarekere,Madiwala",Koramangala 1St Block,Low Rated
Aathithya,Casual Dining,3.1,16,1100,No,No,"North Indian, Continental, Chinese",Brigade Road,Infantry Road,Average Rated
Aathurar,Casual Dining,3.2,574,600,Yes,No,"Chettinad, Biryani, South Indian, Seafood",Indiranagar,Jeevan Bhima Nagar,Average Rated
Abbabi Chicken,Quick Bites,3.7,134,200,No,No,Fast Food,Sarjapur Road,Bellandur,Average Rated
Abc Grand,Casual Dining,3.5,54,400,No,No,"Andhra, Chinese, North Indian",Old Airport Road,Indiranagar,Average Rated
Abhiruchi,Casual Dining,3.8,164,650,No,No,"Andhra, Seafood, North Indian, Chinese",Kalyan Nagar,Kammanahalli,Average Rated
Abhiruchi Andhra Mess,Mess,3.1,61,300,Yes,No,"Andhra, Biryani, South Indian",Whitefield,Whitefield,Average Rated
Abhiruchi Hotel,Casual Dining,3.2,12,500,Yes,No,"North Indian, South Indian, Chinese","Byresandra,Tavarekere,Madiwala",Bommanahalli,Average Rated
Abhiruchi Moonlight,"Takeaway, Delivery",3.3,4,300,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Bommanahalli,Average Rated
Abhiruchi Restaurant,Casual Dining,3.4,5,400,Yes,No,"Andhra, North Indian, Chinese",Bellandur,Sarjapur Road,Average Rated
Ab'S - Absolute Barbecues,Casual Dining,4.6,1502,1400,No,Yes,"European, Mediterranean, North Indian, Bbq",Kalyan Nagar,Kalyan Nagar,High Rated
Absolute Chinese,Quick Bites,3.8,209,450,Yes,No,"Chinese, Fast Food, Momos",Malleshwaram,Rajajinagar,Average Rated
Absolute Shawarma,"Takeaway, Delivery",2.8,40,150,Yes,No,Lebanese,Brookefield,Brookefield,Low Rated
Absolute Waffles,Dessert Parlor,3.9,49,200,Yes,No,"Desserts, Fast Food",Malleshwaram,New Bel Road,Average Rated
Aburrahaman,Delivery,2.8,40,400,No,No,"North Indian, South Indian, Chinese",Indiranagar,Thippasandra,Low Rated
Abzain Paradise,Quick Bites,2.9,42,300,No,No,North Indian,New Bel Road,Sanjay Nagar,Low Rated
Achayyan'S,Quick Bites,3.8,405,350,Yes,No,"Kerala, South Indian",Indiranagar,Indiranagar,Average Rated
Ackley Kitchen,Quick Bites,3.6,33,500,Yes,No,"Fast Food, Continental, Burger",Marathahalli,Kaggadasapura,Average Rated
Adarsh Bakery,Bakery,3.1,10,300,No,No,"Bakery, Fast Food",Electronic City,Electronic City,Average Rated
Adda,Quick Bites,3.3,5,300,No,No,South Indian,Basavanagudi,Shanti Nagar,Average Rated
Addhuri Udupi Bhojana,Quick Bites,3.7,88,300,No,No,"South Indian, North Indian",Banashankari,Banashankari,Average Rated
Adiga'S,Quick Bites,3.3,55,150,No,No,South Indian,Basavanagudi,Jayanagar,Average Rated
Adi'S Cake N Cafe,Bakery,3.3,4,400,No,No,Bakery,"Byresandra,Tavarekere,Madiwala",Bannerghatta Road,Average Rated
Adithya,Casual Dining,3.9,178,450,Yes,No,"South Indian, North Indian, Chinese",Bannerghatta Road,Jp Nagar,Average Rated
Adithya Family Restaurant,Quick Bites,3.7,27,250,No,No,South Indian,"Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Adithya Tiffin Centre,"Takeaway, Delivery",2.8,40,200,No,No,North Indian,Brigade Road,Shanti Nagar,Low Rated
Adithya Veg,Quick Bites,3.3,10,300,No,No,"South Indian, Chinese",Basavanagudi,Jayanagar,Average Rated
Aditya Delights,Quick Bites,3.7,59,300,No,No,"Chinese, North Indian, Mangalorean",New Bel Road,New Bel Road,Average Rated
Aditya Sweets,Sweet Shop,3.7,21,200,Yes,No,"Mithai, Fast Food",Brookefield,Whitefield,Average Rated
Aditya Uphar,Quick Bites,3.5,30,200,No,No,"South Indian, Chinese, North Indian",Jp Nagar,Jp Nagar,Average Rated
Adukkala Restaurant,Casual Dining,2.9,128,600,Yes,No,Kerala,Kammanahalli,Banaswadi,Low Rated
Adupadi,Quick Bites,2.9,25,450,No,No,"South Indian, Chettinad",Whitefield,Whitefield,Low Rated
Advika Briyani Center,Delivery,3.2,10,300,No,No,Biryani,Jp Nagar,Jp Nagar,Average Rated
Adya Hotel,Quick Bites,3.3,4,400,No,No,"South Indian, North Indian, Chinese",Electronic City,Electronic City,Average Rated
Adyar Anand Bhavan Sweets,Quick Bites,2.8,40,200,No,No,"South Indian, North Indian, Chinese, Street Food",Electronic City,Electronic City,Low Rated
Adyar Ananda Bhavan - Sweets,"Takeaway, Delivery",3.4,6,200,Yes,No,"Mithai, Desserts","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Adyar Ananda Bhavan Sweets,"Takeaway, Delivery",3.6,4,200,Yes,No,"Mithai, Desserts",Jp Nagar,Jp Nagar,Average Rated
Afghani Tandoori Hub,Quick Bites,3.6,14,400,Yes,No,"Arabian, Afghan","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Afoozoo - Ginger Hotel,Casual Dining,3.5,40,800,No,No,"North Indian, Chinese",Brookefield,Whitefield,Average Rated
Afrina'S Kitchen,"Takeaway, Delivery",3.4,9,250,Yes,No,"Fast Food, Desserts",Frazer Town,Kammanahalli,Average Rated
Agarwal Food Service,Delivery,3.5,16,400,Yes,No,"North Indian, Chinese, Biryani",Hsr,Hsr,Average Rated
Agent Jack'S Bar,Bar,4.0,377,1300,No,Yes,"Continental, North Indian, Italian",Kalyan Nagar,Kalyan Nagar,High Rated
Agraharaa,Quick Bites,2.8,40,150,No,No,South Indian,Koramangala 4Th Block,Koramangala 6Th Block,Low Rated
Agraharam Meal,"Takeaway, Delivery",3.7,61,300,No,No,"North Indian, South Indian",Marathahalli,Kaggadasapura,Average Rated
Aha Juice Bar,Beverage Shop,3.6,13,200,No,No,"Beverages, Fast Food",Bannerghatta Road,Btm,Average Rated
Ahaan Restaurant,Delivery,2.8,76,300,Yes,No,"North Indian, Chinese",Frazer Town,Rt Nagar,Low Rated
Ahimsaamrit Green Cafe,Casual Dining,3.4,9,800,No,No,"Healthy Food, Salad, Continental",Indiranagar,Indiranagar,Average Rated
Ahmad'S Chicken Hut,Quick Bites,3.2,9,200,No,No,"North Indian, Chinese",Kalyan Nagar,Banaswadi,Average Rated
Ahmed'S Little Hut,Quick Bites,2.8,40,250,Yes,No,Fast Food,Bannerghatta Road,Btm,Low Rated
Ahmeds Takeaway Restaurant,"Takeaway, Delivery",2.8,40,250,No,No,"North Indian, Chinese",Frazer Town,Frazer Town,Low Rated
Aioli,Casual Dining,4.2,783,1400,No,Yes,"Mediterranean, Continental, Italian, Salad",Kalyan Nagar,Kalyan Nagar,High Rated
Airlines Hotel,Quick Bites,4.0,867,400,Yes,No,"South Indian, North Indian, Street Food",Brigade Road,Lavelle Road,High Rated
Aisha Tharavad,Quick Bites,3.5,40,400,No,No,"South Indian, Kerala",Koramangala 6Th Block,Ejipura,Average Rated
Aishwarya,Dhaba,3.3,6,450,No,No,"Chinese, North Indian",Whitefield,Whitefield,Average Rated
Aishwarya Parkland,Casual Dining,2.9,59,500,No,No,"Chinese, North Indian",Bannerghatta Road,Bannerghatta Road,Low Rated
Aishwarya Sweets,Sweet Shop,3.6,24,250,Yes,No,"Mithai, Street Food",Malleshwaram,Rajajinagar,Average Rated
Aishwarya Uphar,Quick Bites,2.8,40,150,No,No,"South Indian, North Indian",Brigade Road,Ulsoor,Low Rated
Ajwa Thalassery Biryani,Quick Bites,3.9,42,500,Yes,Yes,"Biryani, South Indian",Bellandur,Sarjapur Road,Average Rated
Akkad Bakkad,Casual Dining,3.9,72,600,Yes,Yes,"North Indian, Chinese",Electronic City,Electronic City,Average Rated
Aks Family Dhaba And Restaurant,Quick Bites,3.6,40,500,Yes,No,"North Indian, Mughlai, South Indian",Marathahalli,Marathahalli,Average Rated
Akshara,Casual Dining,3.8,42,700,Yes,No,"North Indian, South Indian, Chinese",Electronic City,Electronic City,Average Rated
Akshatha Nati Style,Quick Bites,3.7,20,500,No,No,"South Indian, Chinese, North Indian",Rajajinagar,Vijay Nagar,Average Rated
Akshaya Bar And Restaurant,"Casual Dining, Bar",2.8,40,600,Yes,No,"North Indian, South Indian, Chinese, Fast Food","Byresandra,Tavarekere,Madiwala",Koramangala 1St Block,Low Rated
Akshaya Biryani,Quick Bites,3.6,20,300,Yes,No,"Biryani, North Indian",Bellandur,Sarjapur Road,Average Rated
Akshaya Deluxe,Casual Dining,4.0,336,500,Yes,No,"North Indian, Chinese, Seafood, Biryani",New Bel Road,New Bel Road,High Rated
Akshaya Donne Biriyani,Quick Bites,3.0,39,300,Yes,No,"Biryani, South Indian, Kebab",Jp Nagar,Jp Nagar,Average Rated
Akshaya Family Restaurant,Quick Bites,3.2,4,150,Yes,No,"South Indian, North Indian",Kalyan Nagar,Banaswadi,Average Rated
Akshaya Grand,Casual Dining,3.4,29,750,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Akshaya Sambrama Veg Restaurant,Quick Bites,3.2,13,200,No,No,"South Indian, Chinese",Church Street,Vasanth Nagar,Average Rated
Akss - India Reimagined,Casual Dining,4.2,258,1800,No,Yes,"Modern Indian, North Indian",Malleshwaram,Sadashiv Nagar,High Rated
Al Amal Cafe,"Cafe, Quick Bites",4.0,74,300,No,No,"Cafe, Fast Food",Kalyan Nagar,Kammanahalli,High Rated
Al Amanah Cafe,Quick Bites,4.4,1413,300,Yes,No,"Middle Eastern, Fast Food, Rolls",Frazer Town,Kammanahalli,High Rated
Al Ameen Rolls Corner,Quick Bites,3.7,16,200,No,No,Rolls,Kalyan Nagar,Kammanahalli,Average Rated
Al Barack Cafetaria,Quick Bites,3.6,20,300,No,No,Arabian,Kalyan Nagar,Banaswadi,Average Rated
Al Daaz,Casual Dining,4.2,567,550,Yes,No,"North Indian, Continental, Bbq",Bellandur,Hsr,High Rated
Al Diwan Biryanis And More,"Takeaway, Delivery",3.2,12,300,Yes,No,Biryani,Jayanagar,Basavanagudi,Average Rated
Al Ghani Resetaurant,Quick Bites,3.3,4,400,No,No,"Mughlai, Biryani",Kammanahalli,Kammanahalli,Average Rated
Al Habibi Restaurant,Quick Bites,3.5,17,300,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Al Hayath,Quick Bites,3.5,16,200,No,No,"North Indian, Chinese",Koramangala 5Th Block,Btm,Average Rated
Al Hayath Ambur Biryani,Quick Bites,3.3,9,200,No,No,Biryani,Koramangala 4Th Block,Ejipura,Average Rated
Al Karim,Casual Dining,3.7,90,400,No,No,"Mughlai, North Indian, Biryani, Chinese",Kammanahalli,Kalyan Nagar,Average Rated
Al Khaleej Snacks Corner,Quick Bites,2.8,40,200,No,No,"Lebanese, Fast Food, Beverages",Basavanagudi,Jayanagar,Low Rated
Al Khansah,Casual Dining,3.9,370,550,Yes,No,"Biryani, Mughlai, Chinese, North Indian, Kebab",Bellandur,Bellandur,Average Rated
Al Khwaja,Casual Dining,3.0,13,400,No,No,"North Indian, Chinese",Bellandur,Bellandur,Average Rated
Al Madhina Roll House,Quick Bites,3.4,6,300,No,No,"North Indian, Chinese",Kammanahalli,Kalyan Nagar,Average Rated
Al Madina Family Restaurant,Quick Bites,2.8,40,500,No,No,"North Indian, South Indian, Arabian",Basavanagudi,City Market,Low Rated
Al Madina Roll House,Quick Bites,3.6,16,150,Yes,No,Biryani,Kalyan Nagar,Kalyan Nagar,Average Rated
Al Manar,Quick Bites,2.8,40,400,No,No,"South Indian, North Indian, Chinese",Koramangala 7Th Block,Wilson Garden,Low Rated
Al Noor,Quick Bites,3.7,21,350,No,No,"North Indian, Chinese, Arabian, Rolls",Brigade Road,Shivajinagar,Average Rated
Al Sadique,Quick Bites,3.9,185,450,Yes,No,"North Indian, Mughlai, Chinese, Rolls",Rajajinagar,Magadi Road,Average Rated
Al Sadique Restaurant,Quick Bites,3.4,32,350,No,No,"Mughlai, North Indian, Street Food",Mg Road,Frazer Town,Average Rated
Al Swaad Take Away,Quick Bites,3.1,12,350,Yes,No,"North Indian, South Indian, Arabian",Brigade Road,Richmond Road,Average Rated
Al Taj Fast Food,Quick Bites,3.2,4,600,Yes,No,"Fast Food, North Indian, South Indian, Chinese",Rajajinagar,Vijay Nagar,Average Rated
Al Zaiqa Hotel,Quick Bites,3.4,14,200,Yes,No,"Chinese, South Indian, Fast Food",Marathahalli,Marathahalli,Average Rated
Alampur Bar And Restaurant,Casual Dining,3.7,42,900,Yes,No,"Chinese, South Indian, North Indian",Brigade Road,Race Course Road,Average Rated
Alankar Restaurant,Casual Dining,2.8,40,800,No,No,"South Indian, North Indian, Chinese",Marathahalli,Marathahalli,Low Rated
Alankrutha,Casual Dining,3.8,260,500,Yes,No,"Andhra, Biryani, North Indian, Chinese",Koramangala 5Th Block,Btm,Average Rated
Alba - Jw Marriott Bengaluru,Fine Dining,4.4,561,4000,No,Yes,Italian,Church Street,Lavelle Road,High Rated
Al-Badia Restaurant,Casual Dining,4.2,89,700,No,No,Arabian,Kalyan Nagar,Kammanahalli,High Rated
Al-Baik Kabab Corner,Quick Bites,3.2,25,350,Yes,No,"Kebab, Biryani",Malleshwaram,Yeshwantpur,Average Rated
Al-Baik Tandoori Restaurant,Quick Bites,3.6,113,450,Yes,No,"North Indian, Chinese, Arabian, Biryani, Rolls",Frazer Town,Nagawara,Average Rated
Al-Bek,Casual Dining,3.9,682,650,Yes,No,"North Indian, Mughlai, Chinese, Seafood","Byresandra,Tavarekere,Madiwala",Jayanagar,Average Rated
Albert Bakery,Bakery,4.3,346,150,No,No,"Bakery, Fast Food",Frazer Town,Frazer Town,High Rated
Alchemy - The Chancery Pavilion,"Microbrewery, Casual Dining",4.3,446,2000,No,Yes,Modern Indian,Brigade Road,Residency Road,High Rated
Alchemy Coffee Roasters,Cafe,4.2,704,500,No,No,Cafe,Basavanagudi,Jayanagar,High Rated
Alfa Family Restaurant,Casual Dining,3.0,27,400,No,No,"North Indian, Arabian, Chinese",Basavanagudi,Wilson Garden,Average Rated
Alfresco By Bene -Sheraton Grand Bangalore Hotel At...,"Bar, Casual Dining",3.7,77,2000,No,Yes,Continental,Malleshwaram,Malleshwaram,Average Rated
Al-Hyatt,Quick Bites,3.5,40,300,No,No,"Biryani, Chinese",Koramangala 6Th Block,Ejipura,Average Rated
Ali Snacks Point,Quick Bites,3.4,5,150,Yes,No,"Chinese, Momos",Malleshwaram,Malleshwaram,Average Rated
Alibaba Cafe And Restaurant,Casual Dining,2.9,55,700,No,No,"Arabian, Middle Eastern",Kammanahalli,Kalyan Nagar,Low Rated
Alibi - Maya International Hotel,Casual Dining,1.8,224,1200,No,No,"North Indian, Continental, Chinese",Brigade Road,Church Street,Low Rated
Aliensip,Beverage Shop,3.6,11,200,Yes,No,Juices,Bannerghatta Road,Btm,Average Rated
Alif Restaurant,Casual Dining,3.6,26,600,Yes,No,"North Indian, Chinese",Bannerghatta Road,Jp Nagar,Average Rated
Aligarh House,Delivery,4.4,98,400,Yes,No,"North Indian, Biryani, Awadhi, Mughlai","Byresandra,Tavarekere,Madiwala",Koramangala,High Rated
Alikemom,"Takeaway, Delivery",2.8,40,300,Yes,No,North Indian,Electronic City,Electronic City,Low Rated
All Aromas,Quick Bites,2.8,40,400,Yes,No,"North Indian, Biryani",Basavanagudi,Jayanagar,Low Rated
All Saints Bakery,Bakery,3.6,23,200,No,No,Bakery,Brigade Road,Brigade Road,Average Rated
All Shook Up,"Dessert Parlor, Beverage Shop",3.6,34,300,Yes,No,"Desserts, Beverages",Brookefield,Marathahalli,Average Rated
All Shook Up!,"Dessert Parlor, Beverage Shop",3.6,19,300,Yes,No,"Desserts, Beverages",Malleshwaram,Rajajinagar,Average Rated
Allahabadi Tadaka,Casual Dining,2.9,46,250,No,No,North Indian,Indiranagar,Domlur,Low Rated
Allana Kabab,Quick Bites,3.3,4,200,No,No,North Indian,Church Street,Richmond Road,Average Rated
Alloro - The Oterra,Fine Dining,4.0,63,2500,No,Yes,Italian,Electronic City,Electronic City,High Rated
Al-Madina,"Takeaway, Delivery",3.3,8,500,No,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Al-Madina Restaurant,Casual Dining,3.4,22,400,No,No,"Arabian, North Indian, Chinese, Kerala",Basavanagudi,City Market,Average Rated
Al-Marhaba Restaurant,Quick Bites,2.8,40,400,Yes,No,"Arabian, Chinese, North Indian, Rolls, Momos",Bannerghatta Road,Btm,Low Rated
Al-Noor Restaurant,Quick Bites,2.8,40,400,Yes,No,"Chinese, North Indian, Mughlai",Kalyan Nagar,Nagawara,Low Rated
Alpha - House Of Biryani & Tandoor,Casual Dining,3.3,387,800,Yes,No,"Biryani, North Indian, Chinese",Brookefield,Whitefield,Average Rated
Al-Sidique,Quick Bites,4.0,314,400,Yes,No,"North Indian, Chinese",Rajajinagar,Vijay Nagar,High Rated
Alt,"Bar, Lounge",4.1,821,1900,No,Yes,Finger Food,Whitefield,Whitefield,High Rated
Altaf'S Chillies Restaurant,Casual Dining,3.8,229,500,Yes,No,"North Indian, Chinese",Frazer Town,Frazer Town,Average Rated
Altaj Restaurant,Casual Dining,3.3,6,700,No,No,"North Indian, Chinese",Malleshwaram,Rajajinagar,Average Rated
Al-Taj Restaurant,Casual Dining,3.3,10,600,Yes,No,"South Indian, North Indian, Chinese",Rajajinagar,Rajajinagar,Average Rated
Alter Ego D'Deli,Cafe,3.8,140,650,Yes,No,"Cafe, Continental, Italian, Burger, Pizza, Salad, Steak",Kalyan Nagar,Kalyan Nagar,Average Rated
Alto Vino - Bengaluru Marriott Hotel Whitefield,Fine Dining,4.3,263,3000,No,Yes,"Italian, Salad",Brookefield,Whitefield,High Rated
Am Wow,Beverage Shop,3.4,6,100,Yes,No,Beverages,Banashankari,Jayanagar,Average Rated
Amadora Gourmet Ice Cream & Sorbet,Dessert Parlor,2.8,40,500,No,No,Desserts,Brookefield,Whitefield,Low Rated
Amande Patisserie,Bakery,4.0,73,300,Yes,No,"Bakery, French, Desserts",Banashankari,Basavanagudi,High Rated
Amanthrana Gardenia,Casual Dining,3.8,107,800,Yes,No,"North Indian, Andhra, Bbq, Seafood, Chinese",Brookefield,Brookefield,Average Rated
Amantrana,Casual Dining,3.2,15,800,No,No,"North Indian, South Indian",Rajajinagar,Magadi Road,Average Rated
Amar Kolkata,Quick Bites,3.2,4,300,No,No,"Bengali, North Indian, Chinese",Indiranagar,Old Airport Road,Average Rated
Amara Food Point,"Takeaway, Delivery",3.3,4,250,No,No,South Indian,"Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Amaravathi Bar & Restaurant,"Casual Dining, Bar",3.7,43,400,No,No,"North Indian, Chinese, Seafood","Byresandra,Tavarekere,Madiwala",Jayanagar,Average Rated
Amaravathi Mess,Quick Bites,3.6,108,400,Yes,No,"Andhra, Biryani",Electronic City,Electronic City,Average Rated
Amaravati,Quick Bites,3.6,39,400,No,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Amaravati - Pure Veg Restaurant,Quick Bites,3.5,93,350,Yes,No,"South Indian, North Indian, Chinese",Marathahalli,Kaggadasapura,Average Rated
Amaravati Authentic Andhra Restaurant,Casual Dining,3.0,148,600,Yes,No,"Andhra, Chinese, North Indian, Biryani",Brookefield,Brookefield,Average Rated
Amaravati Food Court,Quick Bites,3.3,7,300,Yes,No,Kerala,Whitefield,Whitefield,Average Rated
Amaravati Grand,Casual Dining,3.3,7,550,No,No,"Chinese, Andhra, Mangalorean",Jayanagar,Btm,Average Rated
Amazing Blue Pub,Pub,3.4,10,900,No,No,Finger Food,Malleshwaram,Seshadripuram,Average Rated
Ambara Gardenia,Casual Dining,3.8,256,800,Yes,Yes,"Andhra, North Indian, Chinese, Seafood","Byresandra,Tavarekere,Madiwala",Bannerghatta Road,Average Rated
Ambarsaria,Casual Dining,2.7,57,800,No,No,North Indian,New Bel Road,New Bel Road,Low Rated
Amber Rush By The Pool,"Bar, Casual Dining",3.9,140,1500,No,No,"North Indian, Chinese, Continental",Brookefield,Marathahalli,Average Rated
Amber Rush Restobar,Pub,4.1,93,1000,No,Yes,"Continental, Chinese, Fast Food",Brigade Road,Residency Road,High Rated
